geo_key,county_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
09020010001,金門縣,金城鎮,東門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,43,2.11,2040,38,2078,4703,44.18,09,020,00,010,0001
09020010002,金門縣,金城鎮,西門里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,212,5.89,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,2,朱紀瑋,龍黨,1,61,N,NA,8,0.22,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,12,0.33,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,4,楊鎮浯,中國國民黨,1,50,Y,NA,1799,50,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,1492,41.47,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010002,金門縣,金城鎮,西門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,75,2.08,3598,67,3665,9226,39.72,09,020,00,010,0002
09020010003,金門縣,金城鎮,南門里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,105,5.26,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010003,金門縣,金城鎮,南門里,2,朱紀瑋,龍黨,1,61,N,NA,8,0.4,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010003,金門縣,金城鎮,南門里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,7,0.35,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010003,金門縣,金城鎮,南門里,4,楊鎮浯,中國國民黨,1,50,Y,NA,1000,50.1,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010003,金門縣,金城鎮,南門里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,840,42.08,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010003,金門縣,金城鎮,南門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,36,1.8,1996,49,2045,5194,39.37,09,020,00,010,0003
09020010004,金門縣,金城鎮,北門里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,76,5.42,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010004,金門縣,金城鎮,北門里,2,朱紀瑋,龍黨,1,61,N,NA,12,0.86,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010004,金門縣,金城鎮,北門里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,9,0.64,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010004,金門縣,金城鎮,北門里,4,楊鎮浯,中國國民黨,1,50,Y,NA,759,54.14,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010004,金門縣,金城鎮,北門里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,529,37.73,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010004,金門縣,金城鎮,北門里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,17,1.21,1402,35,1437,3752,38.3,09,020,00,010,0004
09020010005,金門縣,金城鎮,古城里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,69,4.67,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010005,金門縣,金城鎮,古城里,2,朱紀瑋,龍黨,1,61,N,NA,2,0.14,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010005,金門縣,金城鎮,古城里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,4,0.27,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010005,金門縣,金城鎮,古城里,4,楊鎮浯,中國國民黨,1,50,Y,NA,636,43,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010005,金門縣,金城鎮,古城里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,745,50.37,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010005,金門縣,金城鎮,古城里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,23,1.56,1479,39,1518,3959,38.34,09,020,00,010,0005
09020010006,金門縣,金城鎮,金水里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,48,5.51,871,31,902,2204,40.93,09,020,00,010,0006
09020010006,金門縣,金城鎮,金水里,2,朱紀瑋,龍黨,1,61,N,NA,1,0.11,871,31,902,2204,40.93,09,020,00,010,0006
09020010006,金門縣,金城鎮,金水里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.23,871,31,902,2204,40.93,09,020,00,010,0006
09020010006,金門縣,金城鎮,金水里,4,楊鎮浯,中國國民黨,1,50,Y,NA,417,47.88,871,31,902,2204,40.93,09,020,00,010,0006
09020010006,金門縣,金城鎮,金水里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,386,44.32,871,31,902,2204,40.93,09,020,00,010,0006
09020010006,金門縣,金城鎮,金水里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,17,1.95,871,31,902,2204,40.93,09,020,00,010,0006
09020010007,金門縣,金城鎮,珠沙里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,54,5.48,986,24,1010,2834,35.64,09,020,00,010,0007
09020010007,金門縣,金城鎮,珠沙里,2,朱紀瑋,龍黨,1,61,N,NA,6,0.61,986,24,1010,2834,35.64,09,020,00,010,0007
09020010007,金門縣,金城鎮,珠沙里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.2,986,24,1010,2834,35.64,09,020,00,010,0007
09020010007,金門縣,金城鎮,珠沙里,4,楊鎮浯,中國國民黨,1,50,Y,NA,431,43.71,986,24,1010,2834,35.64,09,020,00,010,0007
09020010007,金門縣,金城鎮,珠沙里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,474,48.07,986,24,1010,2834,35.64,09,020,00,010,0007
09020010007,金門縣,金城鎮,珠沙里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,19,1.93,986,24,1010,2834,35.64,09,020,00,010,0007
09020010008,金門縣,金城鎮,賢庵里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,116,6.64,1747,37,1784,4699,37.97,09,020,00,010,0008
09020010008,金門縣,金城鎮,賢庵里,2,朱紀瑋,龍黨,1,61,N,NA,4,0.23,1747,37,1784,4699,37.97,09,020,00,010,0008
09020010008,金門縣,金城鎮,賢庵里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,3,0.17,1747,37,1784,4699,37.97,09,020,00,010,0008
09020010008,金門縣,金城鎮,賢庵里,4,楊鎮浯,中國國民黨,1,50,Y,NA,749,42.87,1747,37,1784,4699,37.97,09,020,00,010,0008
09020010008,金門縣,金城鎮,賢庵里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,842,48.2,1747,37,1784,4699,37.97,09,020,00,010,0008
09020010008,金門縣,金城鎮,賢庵里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,33,1.89,1747,37,1784,4699,37.97,09,020,00,010,0008
09020020001,金門縣,金沙鎮,汶沙里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,192,10.16,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020001,金門縣,金沙鎮,汶沙里,2,朱紀瑋,龍黨,1,61,N,NA,2,0.11,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020001,金門縣,金沙鎮,汶沙里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,1,0.05,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020001,金門縣,金沙鎮,汶沙里,4,楊鎮浯,中國國民黨,1,50,Y,NA,553,29.26,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020001,金門縣,金沙鎮,汶沙里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,1117,59.1,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020001,金門縣,金沙鎮,汶沙里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,25,1.32,1890,42,1932,4943,39.09,09,020,00,020,0001
09020020002,金門縣,金沙鎮,三山里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,104,15.64,665,11,676,1892,35.73,09,020,00,020,0002
09020020002,金門縣,金沙鎮,三山里,2,朱紀瑋,龍黨,1,61,N,NA,1,0.15,665,11,676,1892,35.73,09,020,00,020,0002
09020020002,金門縣,金沙鎮,三山里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,0,0,665,11,676,1892,35.73,09,020,00,020,0002
09020020002,金門縣,金沙鎮,三山里,4,楊鎮浯,中國國民黨,1,50,Y,NA,175,26.32,665,11,676,1892,35.73,09,020,00,020,0002
09020020002,金門縣,金沙鎮,三山里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,382,57.44,665,11,676,1892,35.73,09,020,00,020,0002
09020020002,金門縣,金沙鎮,三山里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,3,0.45,665,11,676,1892,35.73,09,020,00,020,0002
09020020003,金門縣,金沙鎮,大洋里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,24,4.52,531,5,536,1154,46.45,09,020,00,020,0003
09020020003,金門縣,金沙鎮,大洋里,2,朱紀瑋,龍黨,1,61,N,NA,1,0.19,531,5,536,1154,46.45,09,020,00,020,0003
09020020003,金門縣,金沙鎮,大洋里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,1,0.19,531,5,536,1154,46.45,09,020,00,020,0003
09020020003,金門縣,金沙鎮,大洋里,4,楊鎮浯,中國國民黨,1,50,Y,NA,181,34.09,531,5,536,1154,46.45,09,020,00,020,0003
09020020003,金門縣,金沙鎮,大洋里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,314,59.13,531,5,536,1154,46.45,09,020,00,020,0003
09020020003,金門縣,金沙鎮,大洋里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,10,1.88,531,5,536,1154,46.45,09,020,00,020,0003
09020020004,金門縣,金沙鎮,光前里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,137,14.39,952,20,972,2337,41.59,09,020,00,020,0004
09020020004,金門縣,金沙鎮,光前里,2,朱紀瑋,龍黨,1,61,N,NA,10,1.05,952,20,972,2337,41.59,09,020,00,020,0004
09020020004,金門縣,金沙鎮,光前里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.21,952,20,972,2337,41.59,09,020,00,020,0004
09020020004,金門縣,金沙鎮,光前里,4,楊鎮浯,中國國民黨,1,50,Y,NA,274,28.78,952,20,972,2337,41.59,09,020,00,020,0004
09020020004,金門縣,金沙鎮,光前里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,517,54.31,952,20,972,2337,41.59,09,020,00,020,0004
09020020004,金門縣,金沙鎮,光前里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,12,1.26,952,20,972,2337,41.59,09,020,00,020,0004
09020020005,金門縣,金沙鎮,何斗里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,86,10.32,833,12,845,2016,41.91,09,020,00,020,0005
09020020005,金門縣,金沙鎮,何斗里,2,朱紀瑋,龍黨,1,61,N,NA,0,0,833,12,845,2016,41.91,09,020,00,020,0005
09020020005,金門縣,金沙鎮,何斗里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,4,0.48,833,12,845,2016,41.91,09,020,00,020,0005
09020020005,金門縣,金沙鎮,何斗里,4,楊鎮浯,中國國民黨,1,50,Y,NA,208,24.97,833,12,845,2016,41.91,09,020,00,020,0005
09020020005,金門縣,金沙鎮,何斗里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,525,63.03,833,12,845,2016,41.91,09,020,00,020,0005
09020020005,金門縣,金沙鎮,何斗里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,10,1.2,833,12,845,2016,41.91,09,020,00,020,0005
09020020006,金門縣,金沙鎮,西園里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,63,11.35,555,14,569,1570,36.24,09,020,00,020,0006
09020020006,金門縣,金沙鎮,西園里,2,朱紀瑋,龍黨,1,61,N,NA,1,0.18,555,14,569,1570,36.24,09,020,00,020,0006
09020020006,金門縣,金沙鎮,西園里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,0,0,555,14,569,1570,36.24,09,020,00,020,0006
09020020006,金門縣,金沙鎮,西園里,4,楊鎮浯,中國國民黨,1,50,Y,NA,144,25.95,555,14,569,1570,36.24,09,020,00,020,0006
09020020006,金門縣,金沙鎮,西園里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,343,61.8,555,14,569,1570,36.24,09,020,00,020,0006
09020020006,金門縣,金沙鎮,西園里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,4,0.72,555,14,569,1570,36.24,09,020,00,020,0006
09020020007,金門縣,金沙鎮,官嶼里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,196,26.34,744,8,752,2173,34.61,09,020,00,020,0007
09020020007,金門縣,金沙鎮,官嶼里,2,朱紀瑋,龍黨,1,61,N,NA,1,0.13,744,8,752,2173,34.61,09,020,00,020,0007
09020020007,金門縣,金沙鎮,官嶼里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.27,744,8,752,2173,34.61,09,020,00,020,0007
09020020007,金門縣,金沙鎮,官嶼里,4,楊鎮浯,中國國民黨,1,50,Y,NA,263,35.35,744,8,752,2173,34.61,09,020,00,020,0007
09020020007,金門縣,金沙鎮,官嶼里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,279,37.5,744,8,752,2173,34.61,09,020,00,020,0007
09020020007,金門縣,金沙鎮,官嶼里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,3,0.4,744,8,752,2173,34.61,09,020,00,020,0007
09020020008,金門縣,金沙鎮,浦山里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,95,10.16,935,15,950,2290,41.48,09,020,00,020,0008
09020020008,金門縣,金沙鎮,浦山里,2,朱紀瑋,龍黨,1,61,N,NA,2,0.21,935,15,950,2290,41.48,09,020,00,020,0008
09020020008,金門縣,金沙鎮,浦山里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.21,935,15,950,2290,41.48,09,020,00,020,0008
09020020008,金門縣,金沙鎮,浦山里,4,楊鎮浯,中國國民黨,1,50,Y,NA,210,22.46,935,15,950,2290,41.48,09,020,00,020,0008
09020020008,金門縣,金沙鎮,浦山里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,621,66.42,935,15,950,2290,41.48,09,020,00,020,0008
