geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
01000001007,臺北市,臺北市第01選區,北投區,裕民里,2,張志傑,台灣國民會議,1,30,N,NA,48,0.99,4825,56,4881,6178,79.01,01,000,01,001,0007
01000001007,臺北市,臺北市第01選區,北投區,裕民里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,21,0.44,4825,56,4881,6178,79.01,01,000,01,001,0007
01000001007,臺北市,臺北市第01選區,北投區,裕民里,4,丁守中,中國國民黨,1,58,Y,*,2768,57.37,4825,56,4881,6178,79.01,01,000,01,001,0007
01000001007,臺北市,臺北市第01選區,北投區,裕民里,5,楊烈,民主進步黨,1,60,N,NA,1867,38.69,4825,56,4881,6178,79.01,01,000,01,001,0007
01000001008,臺北市,臺北市第01選區,北投區,振華里,1,張育憬,綠黨,2,42,N,NA,142,2.86,4965,53,5018,6377,78.69,01,000,01,001,0008
01000001008,臺北市,臺北市第01選區,北投區,振華里,2,張志傑,台灣國民會議,1,30,N,NA,38,0.77,4965,53,5018,6377,78.69,01,000,01,001,0008
01000001008,臺北市,臺北市第01選區,北投區,振華里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,8,0.16,4965,53,5018,6377,78.69,01,000,01,001,0008
01000001008,臺北市,臺北市第01選區,北投區,振華里,4,丁守中,中國國民黨,1,58,Y,*,2962,59.66,4965,53,5018,6377,78.69,01,000,01,001,0008
01000001008,臺北市,臺北市第01選區,北投區,振華里,5,楊烈,民主進步黨,1,60,N,NA,1815,36.56,4965,53,5018,6377,78.69,01,000,01,001,0008
01000001009,臺北市,臺北市第01選區,北投區,永和里,1,張育憬,綠黨,2,42,N,NA,127,2.33,5460,83,5543,7258,76.37,01,000,01,001,0009
01000001009,臺北市,臺北市第01選區,北投區,永和里,2,張志傑,台灣國民會議,1,30,N,NA,65,1.19,5460,83,5543,7258,76.37,01,000,01,001,0009
01000001009,臺北市,臺北市第01選區,北投區,永和里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,15,0.27,5460,83,5543,7258,76.37,01,000,01,001,0009
01000001009,臺北市,臺北市第01選區,北投區,永和里,4,丁守中,中國國民黨,1,58,Y,*,3074,56.3,5460,83,5543,7258,76.37,01,000,01,001,0009
01000001009,臺北市,臺北市第01選區,北投區,永和里,5,楊烈,民主進步黨,1,60,N,NA,2179,39.91,5460,83,5543,7258,76.37,01,000,01,001,0009
01000001010,臺北市,臺北市第01選區,北投區,永欣里,1,張育憬,綠黨,2,42,N,NA,148,3.15,4698,62,4760,6239,76.29,01,000,01,001,0010
01000001010,臺北市,臺北市第01選區,北投區,永欣里,2,張志傑,台灣國民會議,1,30,N,NA,101,2.15,4698,62,4760,6239,76.29,01,000,01,001,0010
01000001010,臺北市,臺北市第01選區,北投區,永欣里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,11,0.23,4698,62,4760,6239,76.29,01,000,01,001,0010
01000001010,臺北市,臺北市第01選區,北投區,永欣里,4,丁守中,中國國民黨,1,58,Y,*,2922,62.2,4698,62,4760,6239,76.29,01,000,01,001,0010
01000001010,臺北市,臺北市第01選區,北投區,永欣里,5,楊烈,民主進步黨,1,60,N,NA,1516,32.27,4698,62,4760,6239,76.29,01,000,01,001,0010
01000001011,臺北市,臺北市第01選區,北投區,永明里,1,張育憬,綠黨,2,42,N,NA,72,2.38,3019,33,3052,3849,79.29,01,000,01,001,0011
01000001011,臺北市,臺北市第01選區,北投區,永明里,2,張志傑,台灣國民會議,1,30,N,NA,46,1.52,3019,33,3052,3849,79.29,01,000,01,001,0011
01000001011,臺北市,臺北市第01選區,北投區,永明里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,5,0.17,3019,33,3052,3849,79.29,01,000,01,001,0011
01000001011,臺北市,臺北市第01選區,北投區,永明里,4,丁守中,中國國民黨,1,58,Y,*,1783,59.06,3019,33,3052,3849,79.29,01,000,01,001,0011
01000001011,臺北市,臺北市第01選區,北投區,永明里,5,楊烈,民主進步黨,1,60,N,NA,1113,36.87,3019,33,3052,3849,79.29,01,000,01,001,0011
01000001012,臺北市,臺北市第01選區,北投區,東華里,1,張育憬,綠黨,2,42,N,NA,73,2.47,2952,40,2992,3733,80.15,01,000,01,001,0012
01000001012,臺北市,臺北市第01選區,北投區,東華里,2,張志傑,台灣國民會議,1,30,N,NA,26,0.88,2952,40,2992,3733,80.15,01,000,01,001,0012
01000001012,臺北市,臺北市第01選區,北投區,東華里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,10,0.34,2952,40,2992,3733,80.15,01,000,01,001,0012
01000001012,臺北市,臺北市第01選區,北投區,東華里,4,丁守中,中國國民黨,1,58,Y,*,1814,61.45,2952,40,2992,3733,80.15,01,000,01,001,0012
01000001012,臺北市,臺北市第01選區,北投區,東華里,5,楊烈,民主進步黨,1,60,N,NA,1029,34.86,2952,40,2992,3733,80.15,01,000,01,001,0012
01000001013,臺北市,臺北市第01選區,北投區,吉利里,1,張育憬,綠黨,2,42,N,NA,88,2.06,4276,55,4331,5452,79.44,01,000,01,001,0013
01000001013,臺北市,臺北市第01選區,北投區,吉利里,2,張志傑,台灣國民會議,1,30,N,NA,47,1.1,4276,55,4331,5452,79.44,01,000,01,001,0013
01000001013,臺北市,臺北市第01選區,北投區,吉利里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,11,0.26,4276,55,4331,5452,79.44,01,000,01,001,0013
01000001013,臺北市,臺北市第01選區,北投區,吉利里,4,丁守中,中國國民黨,1,58,Y,*,2606,60.94,4276,55,4331,5452,79.44,01,000,01,001,0013
01000001013,臺北市,臺北市第01選區,北投區,吉利里,5,楊烈,民主進步黨,1,60,N,NA,1524,35.64,4276,55,4331,5452,79.44,01,000,01,001,0013
01000001014,臺北市,臺北市第01選區,北投區,吉慶里,1,張育憬,綠黨,2,42,N,NA,79,2.41,3275,46,3321,4167,79.7,01,000,01,001,0014
01000001014,臺北市,臺北市第01選區,北投區,吉慶里,2,張志傑,台灣國民會議,1,30,N,NA,29,0.89,3275,46,3321,4167,79.7,01,000,01,001,0014
01000001014,臺北市,臺北市第01選區,北投區,吉慶里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,9,0.27,3275,46,3321,4167,79.7,01,000,01,001,0014
01000001014,臺北市,臺北市第01選區,北投區,吉慶里,4,丁守中,中國國民黨,1,58,Y,*,1726,52.7,3275,46,3321,4167,79.7,01,000,01,001,0014
01000001014,臺北市,臺北市第01選區,北投區,吉慶里,5,楊烈,民主進步黨,1,60,N,NA,1432,43.73,3275,46,3321,4167,79.7,01,000,01,001,0014
01000001015,臺北市,臺北市第01選區,北投區,尊賢里,1,張育憬,綠黨,2,42,N,NA,58,1.94,2997,31,3028,3845,78.75,01,000,01,001,0015
01000001015,臺北市,臺北市第01選區,北投區,尊賢里,2,張志傑,台灣國民會議,1,30,N,NA,29,0.97,2997,31,3028,3845,78.75,01,000,01,001,0015
01000001015,臺北市,臺北市第01選區,北投區,尊賢里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,11,0.37,2997,31,3028,3845,78.75,01,000,01,001,0015
01000001015,臺北市,臺北市第01選區,北投區,尊賢里,4,丁守中,中國國民黨,1,58,Y,*,1519,50.68,2997,31,3028,3845,78.75,01,000,01,001,0015
01000001015,臺北市,臺北市第01選區,北投區,尊賢里,5,楊烈,民主進步黨,1,60,N,NA,1380,46.05,2997,31,3028,3845,78.75,01,000,01,001,0015
01000001016,臺北市,臺北市第01選區,北投區,立賢里,1,張育憬,綠黨,2,42,N,NA,67,1.97,3396,36,3432,4447,77.18,01,000,01,001,0016
01000001016,臺北市,臺北市第01選區,北投區,立賢里,2,張志傑,台灣國民會議,1,30,N,NA,36,1.06,3396,36,3432,4447,77.18,01,000,01,001,0016
01000001016,臺北市,臺北市第01選區,北投區,立賢里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,3,0.09,3396,36,3432,4447,77.18,01,000,01,001,0016
01000001016,臺北市,臺北市第01選區,北投區,立賢里,4,丁守中,中國國民黨,1,58,Y,*,1816,53.47,3396,36,3432,4447,77.18,01,000,01,001,0016
01000001016,臺北市,臺北市第01選區,北投區,立賢里,5,楊烈,民主進步黨,1,60,N,NA,1474,43.4,3396,36,3432,4447,77.18,01,000,01,001,0016
01000001017,臺北市,臺北市第01選區,北投區,立農里,1,張育憬,綠黨,2,42,N,NA,121,2.16,5614,57,5671,7197,78.8,01,000,01,001,0017
01000001017,臺北市,臺北市第01選區,北投區,立農里,2,張志傑,台灣國民會議,1,30,N,NA,60,1.07,5614,57,5671,7197,78.8,01,000,01,001,0017
01000001017,臺北市,臺北市第01選區,北投區,立農里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,18,0.32,5614,57,5671,7197,78.8,01,000,01,001,0017
01000001017,臺北市,臺北市第01選區,北投區,立農里,4,丁守中,中國國民黨,1,58,Y,*,3032,54.01,5614,57,5671,7197,78.8,01,000,01,001,0017
01000001017,臺北市,臺北市第01選區,北投區,立農里,5,楊烈,民主進步黨,1,60,N,NA,2383,42.45,5614,57,5671,7197,78.8,01,000,01,001,0017
01000001018,臺北市,臺北市第01選區,北投區,八仙里,1,張育憬,綠黨,2,42,N,NA,81,2.35,3440,40,3480,4487,77.56,01,000,01,001,0018
01000001018,臺北市,臺北市第01選區,北投區,八仙里,2,張志傑,台灣國民會議,1,30,N,NA,41,1.19,3440,40,3480,4487,77.56,01,000,01,001,0018
01000001018,臺北市,臺北市第01選區,北投區,八仙里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,17,0.49,3440,40,3480,4487,77.56,01,000,01,001,0018
01000001018,臺北市,臺北市第01選區,北投區,八仙里,4,丁守中,中國國民黨,1,58,Y,*,1793,52.12,3440,40,3480,4487,77.56,01,000,01,001,0018
01000001018,臺北市,臺北市第01選區,北投區,八仙里,5,楊烈,民主進步黨,1,60,N,NA,1508,43.84,3440,40,3480,4487,77.56,01,000,01,001,0018
01000001019,臺北市,臺北市第01選區,北投區,洲美里,1,張育憬,綠黨,2,42,N,NA,29,2.22,1307,18,1325,1750,75.71,01,000,01,001,0019
01000001019,臺北市,臺北市第01選區,北投區,洲美里,2,張志傑,台灣國民會議,1,30,N,NA,10,0.77,1307,18,1325,1750,75.71,01,000,01,001,0019
01000001019,臺北市,臺北市第01選區,北投區,洲美里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,8,0.61,1307,18,1325,1750,75.71,01,000,01,001,0019
01000001019,臺北市,臺北市第01選區,北投區,洲美里,4,丁守中,中國國民黨,1,58,Y,*,434,33.21,1307,18,1325,1750,75.71,01,000,01,001,0019
01000001019,臺北市,臺北市第01選區,北投區,洲美里,5,楊烈,民主進步黨,1,60,N,NA,826,63.2,1307,18,1325,1750,75.71,01,000,01,001,0019
01000001020,臺北市,臺北市第01選區,北投區,奇岩里,1,張育憬,綠黨,2,42,N,NA,141,2.36,5973,60,6033,7848,76.87,01,000,01,001,0020
01000001020,臺北市,臺北市第01選區,北投區,奇岩里,2,張志傑,台灣國民會議,1,30,N,NA,66,1.1,5973,60,6033,7848,76.87,01,000,01,001,0020
01000001020,臺北市,臺北市第01選區,北投區,奇岩里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,18,0.3,5973,60,6033,7848,76.87,01,000,01,001,0020
01000001020,臺北市,臺北市第01選區,北投區,奇岩里,4,丁守中,中國國民黨,1,58,Y,*,3272,54.78,5973,60,6033,7848,76.87,01,000,01,001,0020
01000001020,臺北市,臺北市第01選區,北投區,奇岩里,5,楊烈,民主進步黨,1,60,N,NA,2476,41.45,5973,60,6033,7848,76.87,01,000,01,001,0020
01000001021,臺北市,臺北市第01選區,北投區,清江里,1,張育憬,綠黨,2,42,N,NA,116,2.12,5468,71,5539,7898,70.13,01,000,01,001,0021
01000001021,臺北市,臺北市第01選區,北投區,清江里,2,張志傑,台灣國民會議,1,30,N,NA,53,0.97,5468,71,5539,7898,70.13,01,000,01,001,0021
01000001021,臺北市,臺北市第01選區,北投區,清江里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,28,0.51,5468,71,5539,7898,70.13,01,000,01,001,0021
01000001021,臺北市,臺北市第01選區,北投區,清江里,4,丁守中,中國國民黨,1,58,Y,*,2757,50.42,5468,71,5539,7898,70.13,01,000,01,001,0021
01000001021,臺北市,臺北市第01選區,北投區,清江里,5,楊烈,民主進步黨,1,60,N,NA,2514,45.98,5468,71,5539,7898,70.13,01,000,01,001,0021
01000001022,臺北市,臺北市第01選區,北投區,中央里,1,張育憬,綠黨,2,42,N,NA,117,2.21,5301,79,5380,7052,76.29,01,000,01,001,0022
01000001022,臺北市,臺北市第01選區,北投區,中央里,2,張志傑,台灣國民會議,1,30,N,NA,48,0.91,5301,79,5380,7052,76.29,01,000,01,001,0022
01000001022,臺北市,臺北市第01選區,北投區,中央里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,23,0.43,5301,79,5380,7052,76.29,01,000,01,001,0022
01000001022,臺北市,臺北市第01選區,北投區,中央里,4,丁守中,中國國民黨,1,58,Y,*,2611,49.25,5301,79,5380,7052,76.29,01,000,01,001,0022
01000001022,臺北市,臺北市第01選區,北投區,中央里,5,楊烈,民主進步黨,1,60,N,NA,2502,47.2,5301,79,5380,7052,76.29,01,000,01,001,0022
01000001023,臺北市,臺北市第01選區,北投區,長安里,1,張育憬,綠黨,2,42,N,NA,74,2.09,3541,47,3588,4828,74.32,01,000,01,001,0023
01000001023,臺北市,臺北市第01選區,北投區,長安里,2,張志傑,台灣國民會議,1,30,N,NA,33,0.93,3541,47,3588,4828,74.32,01,000,01,001,0023
01000001023,臺北市,臺北市第01選區,北投區,長安里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,16,0.45,3541,47,3588,4828,74.32,01,000,01,001,0023
01000001023,臺北市,臺北市第01選區,北投區,長安里,4,丁守中,中國國民黨,1,58,Y,*,1879,53.06,3541,47,3588,4828,74.32,01,000,01,001,0023
01000001023,臺北市,臺北市第01選區,北投區,長安里,5,楊烈,民主進步黨,1,60,N,NA,1539,43.46,3541,47,3588,4828,74.32,01,000,01,001,0023
01000001024,臺北市,臺北市第01選區,北投區,大同里,1,張育憬,綠黨,2,42,N,NA,76,2.08,3653,58,3711,4833,76.78,01,000,01,001,0024
01000001024,臺北市,臺北市第01選區,北投區,大同里,2,張志傑,台灣國民會議,1,30,N,NA,49,1.34,3653,58,3711,4833,76.78,01,000,01,001,0024
01000001024,臺北市,臺北市第01選區,北投區,大同里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,13,0.36,3653,58,3711,4833,76.78,01,000,01,001,0024
01000001024,臺北市,臺北市第01選區,北投區,大同里,4,丁守中,中國國民黨,1,58,Y,*,1824,49.93,3653,58,3711,4833,76.78,01,000,01,001,0024
01000001024,臺北市,臺北市第01選區,北投區,大同里,5,楊烈,民主進步黨,1,60,N,NA,1691,46.29,3653,58,3711,4833,76.78,01,000,01,001,0024
01000001025,臺北市,臺北市第01選區,北投區,溫泉里,1,張育憬,綠黨,2,42,N,NA,77,1.87,4114,60,4174,5451,76.57,01,000,01,001,0025
01000001025,臺北市,臺北市第01選區,北投區,溫泉里,2,張志傑,台灣國民會議,1,30,N,NA,35,0.85,4114,60,4174,5451,76.57,01,000,01,001,0025
01000001025,臺北市,臺北市第01選區,北投區,溫泉里,3,鄭光照,中華民國臺灣基本法連線,1,57,N,NA,14,0.34,4114,60,4174,5451,76.57,01,000,01,001,0025
01000001025,臺北市,臺北市第01選區,北投區,溫泉里,4,丁守中,中國國民黨,1,58,Y,*,2180,52.99,4114,60,4174,5451,76.57,01,000,01,001,0025
