geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
01000001001,臺北市,北投區,建民里,1,蔡英文,NA,民主進步黨,NA,1358,52.53,2585,20,2605,3317,78.53,01,000,001,0001
01000001001,臺北市,北投區,建民里,2,馬英九,NA,中國國民黨,*,1181,45.69,2585,20,2605,3317,78.53,01,000,001,0001
01000001001,臺北市,北投區,建民里,3,宋楚瑜,NA,無黨籍及未經政黨推薦,NA,46,1.78,2585,20,2605,3317,78.53,01,000,001,0001
01000001002,臺北市,北投區,文林里,1,蔡英文,NA,民主進步黨,NA,1419,49.44,2870,20,2890,3671,78.73,01,000,001,0002
01000001002,臺北市,北投區,文林里,2,馬英九,NA,中國國民黨,*,1382,48.15,2870,20,2890,3671,78.73,01,000,001,0002
01000001002,臺北市,北投區,文林里,3,宋楚瑜,NA,無黨籍及未經政黨推薦,NA,69,2.4,2870,20,2890,3671,78.73,01,000,001,0002
01000001003,臺北市,北投區,石牌里,1,蔡英文,NA,民主進步黨,NA,1663,47.31,3515,23,3538,4477,79.03,01,000,001,0003
01000001003,臺北市,北投區,石牌里,2,馬英九,NA,中國國民黨,*,1770,50.36,3515,23,3538,4477,79.03,01,000,001,0003
01000001003,臺北市,北投區,石牌里,3,宋楚瑜,NA,無黨籍及未經政黨推薦,NA,82,2.33,3515,23,3538,4477,79.03,01,000,001,0003
01000001004,臺北市,北投區,福興里,1,蔡英文,NA,民主進步黨,NA,2017,44.46,4537,23,4560,5688,80.17,01,000,001,0004
01000001004,臺北市,北投區,福興里,2,馬英九,NA,中國國民黨,*,2412,53.16,4537,23,4560,5688,80.17,01,000,001,0004
01000001004,臺北市,北投區,福興里,3,宋楚瑜,NA,無黨籍及未經政黨推薦,NA,108,2.38,4537,23,4560,5688,80.17,01,000,001,0004
01000001005,臺北市,北投區,榮光里,1,蔡英文,NA,民主進步黨,NA,1922,42.64,4507,24,4531,5865,77.25,01,000,001,0005
01000001005,臺北市,北投區,榮光里,2,馬英九,NA,中國國民黨,*,2488,55.2,4507,24,4531,5865,77.25,01,000,001,0005
