geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
10002030009,宜蘭縣,蘇澳鎮,聖湖里,3,侯友宜,NA,中國國民黨,NA,571,38.53,1482,10,1492,2149,69.43,10,002,030,0009
10002030010,宜蘭縣,蘇澳鎮,蘇西里,1,柯文哲,NA,台灣民眾黨,NA,364,24.56,1482,9,1491,2204,67.65,10,002,030,0010
10002030010,宜蘭縣,蘇澳鎮,蘇西里,2,賴清德,NA,民主進步黨,*,624,42.11,1482,9,1491,2204,67.65,10,002,030,0010
10002030010,宜蘭縣,蘇澳鎮,蘇西里,3,侯友宜,NA,中國國民黨,NA,494,33.33,1482,9,1491,2204,67.65,10,002,030,0010
10002030011,宜蘭縣,蘇澳鎮,蘇北里,1,柯文哲,NA,台灣民眾黨,NA,146,23.36,625,3,628,919,68.34,10,002,030,0011
10002030011,宜蘭縣,蘇澳鎮,蘇北里,2,賴清德,NA,民主進步黨,*,242,38.72,625,3,628,919,68.34,10,002,030,0011
10002030011,宜蘭縣,蘇澳鎮,蘇北里,3,侯友宜,NA,中國國民黨,NA,237,37.92,625,3,628,919,68.34,10,002,030,0011
10002030012,宜蘭縣,蘇澳鎮,蘇南里,1,柯文哲,NA,台灣民眾黨,NA,64,21.84,293,2,295,425,69.41,10,002,030,0012
10002030012,宜蘭縣,蘇澳鎮,蘇南里,2,賴清德,NA,民主進步黨,*,138,47.1,293,2,295,425,69.41,10,002,030,0012
10002030012,宜蘭縣,蘇澳鎮,蘇南里,3,侯友宜,NA,中國國民黨,NA,91,31.06,293,2,295,425,69.41,10,002,030,0012
10002030013,宜蘭縣,蘇澳鎮,蘇東里,1,柯文哲,NA,台灣民眾黨,NA,78,25.83,302,0,302,492,61.38,10,002,030,0013
10002030013,宜蘭縣,蘇澳鎮,蘇東里,2,賴清德,NA,民主進步黨,*,125,41.39,302,0,302,492,61.38,10,002,030,0013
10002030013,宜蘭縣,蘇澳鎮,蘇東里,3,侯友宜,NA,中國國民黨,NA,99,32.78,302,0,302,492,61.38,10,002,030,0013
10002030014,宜蘭縣,蘇澳鎮,長安里,1,柯文哲,NA,台灣民眾黨,NA,82,22.59,363,4,367,492,74.59,10,002,030,0014
10002030014,宜蘭縣,蘇澳鎮,長安里,2,賴清德,NA,民主進步黨,*,163,44.9,363,4,367,492,74.59,10,002,030,0014
