geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
09007010001,連江縣,南竿鄉,介壽村,1,宋楚瑜,NA,親民黨,NA,40,3.33,1202,20,1222,1918,63.71,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,2,韓國瑜,NA,中國國民黨,NA,915,76.12,1202,20,1222,1918,63.71,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,3,蔡英文,NA,民主進步黨,*,247,20.55,1202,20,1222,1918,63.71,09,007,010,0001
09007010002,連江縣,南竿鄉,復興村、福沃村,1,宋楚瑜,NA,親民黨,NA,27,2.73,988,19,1007,1722,58.48,09,007,010,A002
09007010002,連江縣,南竿鄉,復興村、福沃村,2,韓國瑜,NA,中國國民黨,NA,765,77.43,988,19,1007,1722,58.48,09,007,010,A002
09007010002,連江縣,南竿鄉,復興村、福沃村,3,蔡英文,NA,民主進步黨,*,196,19.84,988,19,1007,1722,58.48,09,007,010,A002
09007010004,連江縣,南竿鄉,清水村、珠螺村,1,宋楚瑜,NA,親民黨,NA,25,3.62,690,7,697,1117,62.4,09,007,010,A004
09007010004,連江縣,南竿鄉,清水村、珠螺村,2,韓國瑜,NA,中國國民黨,NA,495,71.74,690,7,697,1117,62.4,09,007,010,A004
09007010004,連江縣,南竿鄉,清水村、珠螺村,3,蔡英文,NA,民主進步黨,*,170,24.64,690,7,697,1117,62.4,09,007,010,A004
09007010005,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,1,宋楚瑜,NA,親民黨,NA,22,2.46,893,7,900,1500,60,09,007,010,A005
09007010005,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,2,韓國瑜,NA,中國國民黨,NA,700,78.39,893,7,900,1500,60,09,007,010,A005
09007010005,連江縣,南竿鄉,仁愛村、津沙村、馬祖村、四維村,3,蔡英文,NA,民主進步黨,*,171,19.15,893,7,900,1500,60,09,007,010,A005
09007020001,連江縣,北竿鄉,塘岐村、后沃村,1,宋楚瑜,NA,親民黨,NA,15,2.41,623,6,629,1221,51.52,09,007,020,A001
09007020001,連江縣,北竿鄉,塘岐村、后沃村,2,韓國瑜,NA,中國國民黨,NA,487,78.17,623,6,629,1221,51.52,09,007,020,A001
09007020001,連江縣,北竿鄉,塘岐村、后沃村,3,蔡英文,NA,民主進步黨,*,121,19.42,623,6,629,1221,51.52,09,007,020,A001
09007020003,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,1,宋楚瑜,NA,親民黨,NA,10,2.06,486,8,494,968,51.03,09,007,020,A003
09007020003,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,2,韓國瑜,NA,中國國民黨,NA,396,81.48,486,8,494,968,51.03,09,007,020,A003
09007020003,連江縣,北竿鄉,橋仔村、芹壁村、坂里村、白沙村,3,蔡英文,NA,民主進步黨,*,80,16.46,486,8,494,968,51.03,09,007,020,A003
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,1,宋楚瑜,NA,親民黨,NA,9,3.21,280,3,283,640,44.22,09,007,030,A001
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,2,韓國瑜,NA,中國國民黨,NA,228,81.43,280,3,283,640,44.22,09,007,030,A001
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,3,蔡英文,NA,民主進步黨,*,43,15.36,280,3,283,640,44.22,09,007,030,A001
