geo_key,county_name,township_name,village_name,candidate_no,candidate_name,running_mate,party_name,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,township,village
09007010001,連江縣,南竿鄉,介壽村,1,朱立倫,NA,中國國民黨,NA,635,70.24,904,20,924,1820,50.77,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,2,蔡英文,NA,民主進步黨,*,143,15.82,904,20,924,1820,50.77,09,007,010,0001
09007010001,連江縣,南竿鄉,介壽村,3,宋楚瑜,NA,親民黨,NA,126,13.94,904,20,924,1820,50.77,09,007,010,0001
09007010002,連江縣,南竿鄉,復興村、福沃村,1,朱立倫,NA,中國國民黨,NA,538,68.97,780,19,799,1831,43.64,09,007,010,A002
09007010002,連江縣,南竿鄉,復興村、福沃村,2,蔡英文,NA,民主進步黨,*,135,17.31,780,19,799,1831,43.64,09,007,010,A002
09007010002,連江縣,南竿鄉,復興村、福沃村,3,宋楚瑜,NA,親民黨,NA,107,13.72,780,19,799,1831,43.64,09,007,010,A002
09007010004,連江縣,南竿鄉,清水村、仁愛村、津沙村、馬祖村、珠螺村、四維村,1,朱立倫,NA,中國國民黨,NA,707,71.34,991,26,1017,2271,44.78,09,007,010,A004
09007010004,連江縣,南竿鄉,清水村、仁愛村、津沙村、馬祖村、珠螺村、四維村,2,蔡英文,NA,民主進步黨,*,175,17.66,991,26,1017,2271,44.78,09,007,010,A004
09007010004,連江縣,南竿鄉,清水村、仁愛村、津沙村、馬祖村、珠螺村、四維村,3,宋楚瑜,NA,親民黨,NA,109,11,991,26,1017,2271,44.78,09,007,010,A004
09007020001,連江縣,北竿鄉,塘岐村、后沃村、橋仔村,1,朱立倫,NA,中國國民黨,NA,410,70.57,581,9,590,1372,43,09,007,020,A001
09007020001,連江縣,北竿鄉,塘岐村、后沃村、橋仔村,2,蔡英文,NA,民主進步黨,*,94,16.18,581,9,590,1372,43,09,007,020,A001
09007020001,連江縣,北竿鄉,塘岐村、后沃村、橋仔村,3,宋楚瑜,NA,親民黨,NA,77,13.25,581,9,590,1372,43,09,007,020,A001
09007020004,連江縣,北竿鄉,芹壁村、坂里村、白沙村,1,朱立倫,NA,中國國民黨,NA,163,73.76,221,4,225,573,39.27,09,007,020,A004
09007020004,連江縣,北竿鄉,芹壁村、坂里村、白沙村,2,蔡英文,NA,民主進步黨,*,30,13.57,221,4,225,573,39.27,09,007,020,A004
09007020004,連江縣,北竿鄉,芹壁村、坂里村、白沙村,3,宋楚瑜,NA,親民黨,NA,28,12.67,221,4,225,573,39.27,09,007,020,A004
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,1,朱立倫,NA,中國國民黨,NA,159,63.35,251,4,255,661,38.58,09,007,030,A001
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,2,蔡英文,NA,民主進步黨,*,46,18.33,251,4,255,661,38.58,09,007,030,A001
09007030001,連江縣,莒光鄉,青帆村、田沃村、西坵村,3,宋楚瑜,NA,親民黨,NA,46,18.33,251,4,255,661,38.58,09,007,030,A001
09007030004,連江縣,莒光鄉,福正村、大坪村,1,朱立倫,NA,中國國民黨,NA,159,65.16,244,2,246,674,36.5,09,007,030,A004
09007030004,連江縣,莒光鄉,福正村、大坪村,2,蔡英文,NA,民主進步黨,*,34,13.93,244,2,246,674,36.5,09,007,030,A004
09007030004,連江縣,莒光鄉,福正村、大坪村,3,宋楚瑜,NA,親民黨,NA,51,20.9,244,2,246,674,36.5,09,007,030,A004
09007040001,連江縣,東引鄉,中柳村、樂華村,1,朱立倫,NA,中國國民黨,NA,294,59.27,496,1,497,1038,47.88,09,007,040,A001
